ID,CustomerID,BranchID,FromAddressInfoID,FromPhoneInfoID,ToAddressInfoID,ToPhoneInfoID,MovePricingID,Status,MovingDate,MoveSize,MoveType,ApproximateWeight,Distance,Comments,Brand,EstimatorDate,EstimatorEndDate,BookedDate,CancellationReason,CurrentWorkflowStage,CurrentWorkflowStep,SentToLocalOffice,DateUpdated,DateCreated,MovingDateCommitmentStatus,MoveCompletedDate,InvoiceFlag,BillOfLaden,EstimatorEmployeeID,IsStorage,CrewRating,Capacity,CapacitySaved,EstTime,IsVerify,IsAts,PackingCrew,PackingEstimateTime,PackingEstHrs,ROM,TruckAdded,PreMoveType,PreCoded,HoursChange,INTERNALNOTES,customerviewed,UnloadingROM,GoogleDistance,Chargeback,EstimatorVideo,ZipCodeNotSure,MovingDateNotSure,ResolutionStatus,IsSatellite,EstimateFlag,IsGoogleReviewSent,CustomPriceText,RouteId,MoveWithUsBefore,ExactDate,DueBookedOutDate,DepositAmount,StorageStatus,IsLDMove,StorageInterest,IsPenciledInConfirmed,PenciledInAt,MainMoveType,OneTimeOrCorporate,JunkOption,MongoDBId,InvoiceMongoDBId
54738,154923,9.0,112045,110701,112046,110702,54387,2,2024-06-11 11:13:00.000,1,0,,,,1,,,2006-05-21 00:00:00.000,0.0,500,300,1,2024-10-21 08:09:00.000,2006-05-21 20:52:00.000,,,0,,,,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ams storage,,,,,,,
62736,162891,9.0,128258,126637,128259,126638,62355,2,2024-06-11 11:13:00.000,1,1,8000.0,2.0,,1,,,2006-06-14 00:00:00.000,0.0,500,300,1,2006-08-22 16:45:00.000,2006-06-14 22:35:00.000,,,0,,,,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72853,172989,7.0,148755,146833,148756,146834,72455,3,2006-07-23 00:00:00.000,1,1,1250.0,12.0,"<P>E-f 6 2 crates&nbsp; Yes&nbsp;&nbsp; 1 couch in overflow pays 115.00&nbsp; LM to call me to discuss new rates&nbsp; will be $150.00&nbsp;&nbsp;&nbsp;&nbsp; SHE OKD 150.00 FOR 2 CRATES AND 1 PIECE IN OVERFLOW</P>
<P>have to go around the back at orgin call before u come on&nbsp; home phone</P>
<P>Her address where she will be staying at is: 1006 Home Ave. Oak Park, IL&nbsp;&nbsp; 60304 cl: 312-305-2276&nbsp; </P>",1,,,2024-03-28 14:44:00.000,0.0,106,300,1,2024-10-08 14:16:00.000,2006-07-18 14:43:00.000,,2006-07-23 00:00:00.000,0,,,0.0,0.0,1.0,,,0.0,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,
79549,179685,22.0,162352,160225,162353,160226,79151,3,2024-06-11 11:13:00.000,6,1,,0.0,"<P><B>Heavy - machine tools, work bench - pick up location in back of office&nbsp;</B></P>
<P>Quoted 4 men @ $195.00 per hr. No minimum time. Plus a 1hr. travel charge of $195.00.&nbsp; </P>",1,,,2018-07-17 13:19:00.000,0.0,400,300,1,2018-08-01 13:37:00.000,2006-08-09 10:46:00.000,,2018-07-26 00:00:00.000,0,,,0.0,0.0,0.5,,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83568,183704,7.0,170501,168263,170502,168264,83170,3,2024-06-11 11:13:00.000,1,1,1000.0,11.0,"<P>D-5 2 crates (no) mailed&nbsp; 12/1 sending back&nbsp;&nbsp; 60.00&nbsp; INVENTORY&nbsp; 1824 Briarwood Terrace (rear) Lake Como, NJ 07719&nbsp;&nbsp; 10/1&nbsp; new CC 5308 0200 0040 9645&nbsp; 05/20&nbsp; 895</P>
<P>quoted 2/80 2 hr min 1 hr tt</P>
<P>VISA 4479-7200-3277-0171 EXP 08/19&nbsp;&nbsp; sec 937</P>
<P>New address&nbsp; 560 Jersey Ave,&nbsp; Spring Lake Heights NJ 07762</P>
<P>THESE ARE THE ONLY ITEMS WE ARE MOVING AND HE WOULD LIKE THESE ITEMS TO GO TO STORAGE FOR A COUPLE OF MONTHS----3 dressers, stereo equip., computer, 2 lamps, 15 boxes, 4 cases of stereo records, vacuum cleaner, </P>
<P>heaviest item---plastice tub w/ over 100 albums inside</P>
<P>specialty item---1 box of pictures that are paintings......</P>
<P>will do own packing....</P>
<P>WOULD LIKE&nbsp; 2-3 MEDIUM BOXES TO PACK HIS DISHES---PLEASE BRING PAPER ALSO TO PACK THIS STUFF</P>
<P>visa </P>
<P><STRONG><U><FONT color=#ff0000 size=2 face=Arial>$50.00&nbsp;pre-payment is REQUIRED&nbsp;before scheduling move</FONT></U></STRONG></P>",1,,,2006-08-22 00:00:00.000,0.0,400,300,1,2018-10-13 08:43:00.000,2006-08-22 13:00:00.000,,2006-08-23 00:00:00.000,0,,,0.0,0.0,0.5,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94307,194432,22.0,192309,189719,192310,189720,93901,3,2024-06-11 11:13:00.000,6,3,11250.0,0.0,"3-19-$139 Jim Est. NTE 10% or $3770.80. We PACK: Kitchen &amp;&nbsp;China Cabinet, the rest packed by owner. Only moving what fits on 1 truck!&nbsp; Load, Driver &amp; Unload (19 x $139) = $2641, Packing = $470, Fuel = $317, Total = $3,428.00. Opt. 54K Full Val. w/ $3000 Ded. = $650.00. Will have an extra stop at parents house to deliver into the garage. deliver to garage first!!!!!",1,2017-12-22 16:30:00.000,2017-12-22 17:30:00.000,2018-01-02 10:53:00.000,0.0,400,300,1,2018-01-25 16:01:00.000,2006-10-01 11:28:00.000,,2018-01-25 00:00:00.000,0,,371.0,0.0,0.0,1.0,,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109277,209402,7.0,222780,219659,222781,219660,108871,3,2024-06-11 11:13:00.000,1,1,7500.0,23.0,"<P><FONT color=#ff0000>NEED CURRENT ADDRESS AND PHONE Yes contract</FONT></P>
<P><FONT color=#ff0000>600 N. Lake Shore Dr. Apt 2012&nbsp; Chicago il 60611-3061&nbsp;&nbsp; 10/2 CURRENT</FONT></P>
<P>H-4&nbsp; current customer&nbsp;&nbsp;&nbsp; need updated contract sent 1/28/17</P>
<P>Not moving the whole house...divorce Move</P>
<P><A href=""mailto:3@110"">3@110</A>, 2/...$50 Per Crate For storage</P>
<P>MC-5466-1600-7679-8543, Exp .date-8/31/08, Sec. Code-688</P>
<P>10/1 lm need updated cc and contact information&nbsp; 312-283-0628</P>",1,,,2006-12-05 00:00:00.000,0.0,400,300,1,2018-10-13 08:37:00.000,2006-12-05 12:14:00.000,,2006-12-08 00:00:00.000,0,,,0.0,0.0,1.0,1.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117713,217838,9.0,239918,236531,239919,236532,117307,3,2024-06-11 11:13:00.000,4,1,7500.0,19.0,"<b><br>-----Inventory Notes-----------</br></b> <br><b>Item:</b> Sofa, 3 Cushion  <b>Item Qty:</b> 3  <b>Cube:</b> 50  <b>Weight:</b> 1050, </br><b>Item:</b> Table, Coffee  <b>Item Qty:</b> 2  <b>Cube:</b> 5  <b>Weight:</b> 70, </br><b>Item:</b> Table, Coffee  <b>Item Qty:</b> 1  <b>Cube:</b> 5  <b>Weight:</b> 35, </br><b>Item:</b> Media Cabinet  <b>Item Qty:</b> 1  <b>Cube:</b> 15  <b>Weight:</b> 105, </br><b>Item:</b> TV  <b>Item Qty:</b> 1  <b>Cube:</b> 12  <b>Weight:</b> 84, </br><b>Item:</b> Sofa, 3 Cushion  <b>Item Qty:</b> 1  <b>Cube:</b> 50  <b>Weight:</b> 350, </br><b>Item:</b> Tables, End  <b>Item Qty:</b> 1  <b>Cube:</b> 5  <b>Weight:</b> 35, </br><b>Item:</b> Gym Equipment  <b>Item Qty:</b> 1  <b>Cube:</b> 30  <b>Weight:</b> 210, </br><b>Item:</b> Storage Bins  <b>Item Qty:</b> 1  <b>Cube:</b> 20  <b>Weight:</b> 140, </br><b>Item:</b> Chair, Overstuffed  <b>Item Qty:</b> 1  <b>Cube:</b> 25  <b>Weight:</b> 175, </br><b>Item:</b> Sofa, Loveseat  <b>Item Qty:</b> 1  <b>Cube:</b> 35  <b>Weight:</b> 245, </br><b>Item:</b> Sofa, 3 Cushion  <b>Item Qty:</b> 1  <b>Cube:</b> 50  <b>Weight:</b> 350, </br><b>Item:</b> Tables, End  <b>Item Qty:</b> 1  <b>Cube:</b> 5  <b>Weight:</b> 35, </br><b>Item:</b> Appliance  <b>Item Qty:</b> 1  <b>Cube:</b> 25  <b>Weight:</b> 175, </br><b>Item:</b> Game Table  <b>Item Qty:</b> 1  <b>Cube:</b> 100  <b>Weight:</b> 700, </br><b>Item:</b> Lamp, Floor  <b>Item Qty:</b> 2  <b>Cube:</b> 3  <b>Weight:</b> 42, </br><b>Item:</b> Rug  <b>Item Qty:</b> 3  <b>Cube:</b> 10  <b>Weight:</b> 210, </br><b>Item:</b> Table, Dining  <b>Item Qty:</b> 1  <b>Cube:</b> 30  <b>Weight:</b> 210, </br><b>Item:</b> Chair, Dining  <b>Item Qty:</b> 1  <b>Cube:</b> 5  <b>Weight:</b> 35, </br><b>Item:</b> TV  <b>Item Qty:</b> 1  <b>Cube:</b> 12  <b>Weight:</b> 84, </br><b>Item:</b> Lamp, Floor  <b>Item Qty:</b> 1  <b>Cube:</b> 3  <b>Weight:</b> 21, </br><b>Item:</b> Mirror  <b>Item Qty:</b> 1  <b>Cube:</b> 10  <b>Weight:</b> 70, </br><b>Item:</b> Bookshelf  <b>Item Qty:</b> 1  <b>Cube:</b> 5  <b>Weight:</b> 35, </br><b>Item:</b> Bookshelf  <b>Item Qty:</b> 1  <b>Cube:</b> 5  <b>Weight:</b> 35, </br><b>Item:</b> Other Item  <b>Item Qty:</b> 1  <b>Cube:</b> 20  <b>Weight:</b> 140, </br><b>Item:</b> Sofa ratan  <b>Item Qty:</b> 2  <b>Cube:</b> 20  <b>Weight:</b> 280, </br><b>Item:</b> Plant  <b>Item Qty:</b> 2  <b>Cube:</b> 10  <b>Weight:</b> 140, </br><b>Item:</b> Lamp, Floor  <b>Item Qty:</b> 1  <b>Cube:</b> 3  <b>Weight:</b> 21, </br><b>Item:</b> Bookshelf  <b>Item Qty:</b> 1  <b>Cube:</b> 5  <b>Weight:</b> 35, </br><b>Item:</b> Artwork  <b>Item Qty:</b> 1  <b>Cube:</b> 20  <b>Weight:</b> 140, </br><b>Item:</b> Other Item  <b>Item Qty:</b> 1  <b>Cube:</b> 20  <b>Weight:</b> 140, </br><b>Item:</b> Toolchest, Large  <b>Item Qty:</b> 1  <b>Cube:</b> 40  <b>Weight:</b> 280, </br><b>Item:</b> BBQ Grill  <b>Item Qty:</b> 1  <b>Cube:</b> 20  <b>Weight:</b> 140, </br><b>Item:</b> Storage Bins  <b>Item Qty:</b> 1  <b>Cube:</b> 20  <b>Weight:</b> 140, </br><b>Item:</b> Lamp, Floor  <b>Item Qty:</b> 1  <b>Cube:</b> 3  <b>Weight:</b> 21, </br><b><br>-----Inventory Notes-----------</br></b>",1,2024-03-07 08:00:00.000,2024-03-07 08:45:00.000,2024-04-05 11:42:00.000,0.0,300,300,1,2025-05-02 09:51:00.000,2007-01-18 18:28:00.000,,2008-08-01 00:00:00.000,0,,30599.0,0.0,0.0,1.0,,,0.0,,,,,,,,,,,,,19.0,,,0.0,,,,2.0,,,,,,,,,,,,,,,,,
125280,225405,9.0,255233,251665,255234,251666,124874,2,2024-06-11 11:13:00.000,9,1,,2.0,,1,,,2016-05-05 13:03:00.000,0.0,500,300,1,2019-09-06 15:08:00.000,2007-02-18 20:12:00.000,,2019-09-05 00:00:00.000,0,,1059.0,0.0,0.0,1.0,,3.0,1.0,,,,,,,,,,,,,2.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
144188,244314,19.0,293613,289481,293614,289482,143782,3,2024-06-11 11:13:00.000,1,0,,13.0,autopay,1,,,2007-04-19 00:00:00.000,0.0,400,300,1,2016-11-15 11:32:00.000,2007-04-19 14:16:00.000,,2006-04-30 00:00:00.000,0,,,0.0,0.0,0.5,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
