ID,MoveID,BillOfLadingID,Date,SlotName,LoadingInfoID,UnloadingInfoID,TravelInfoID,TravelRateSource,TotalCharges,Notes,DispatchStatusID,DateUpdated,DateCreated,PreFlag,Estimatetype,EstCost,PlanType,TotalComments,EstimateQuotePath,cubedata,HtmlPath,PDFPath,CustomerSig,EstimatorSig,ReasonForAddCharges,AMSBoxesOnly,optiontype,replacementvalue,premiumvalue,CheckedVal,StorageEnd,deductible,StandardPlanCost,ProtectionPlanCost,GreenPlanCost,StandardPlanPackCost,StandardPlanMaterialCost,ProtectionPlanPackCost,ProtectionPlanMaterialCost,GreenPlanPackCost,GreenPlanMaterialCost,StandardPlanFuelCost,ProtectionPlanFuelCost,GreenPlanFuelCost,StandardPlanPackEstHrs,ProtectionPlanPackEstHrs,GreenPlanPackEstHrs,CustomPlanCost,LaborCost,TravelCost,FuelCost,DirectServiceOptionCost,PackingCost,ThirrdPartyServiceCost,OtherChargesCost,TotalGuaranteedPriceCost,RawBuild,RawEstimateType,TotalCostWithPacking,TotalCostWithoutPacking,ZipCodeSameLocation,Prevpremiumvalue,Prevreplacementvalue,Prevdeductible,EstChangedTravel,Discount,DiscountAmt,TotalAmount,TotalAmountAfterDisc,RequestedEmpID,ApprovedEmpID,ApproveStatus,RevenueperunithourWithDisc,RevenueperunithourWithoutDisc,OSMcommissionWithDisc,OSMcommissionWithoutDisc,OSMprofithourWithDisc,OSMprofithourWithoutDisc,AMSprofithourWithDisc,AMSprofithourWithoutDisc,TotalCostOnly,LocalIn,ShowDiscount,netCharges,ShowDiscountVal,loadingOff,unloadingOff,ATSUnLoadingThirdParty,MoveTypeChanged,ZipCodeSameLocationEstGiven,Deductable,CoveragesID,ShipperID,CubeSheetURL,EstOnlinePDFQotePath,EstLDCheckListHTMLPath,EstLDCheckListPDFPath,EstLDCheckListCustSignature,custsignflag,OFSPdfpath,OFSCustomerSign,OFSCustomerSignUrl,WaiverPDFPath,WaiverCustSignPath,OriginBolUrl,AddendumPdfURL,AddendumSignPath,FVPDeductible
54210,54738,,2006-05-26 00:00:00.000,Unscheduled,162628,162629,162630,1,198.0,,,2009-02-26 22:17:00.000,2006-05-21 20:52:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62404,62736,,2006-08-24 00:00:00.000,Unscheduled,187210,187211,187212,1,435.0,,,2006-08-22 16:45:00.000,2006-06-14 22:35:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72807,72853,,2006-07-23 00:00:00.000,Starter,218419,218420,218421,1,320.0,,,2024-10-08 11:54:00.000,2006-07-18 14:43:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79750,79549,16575.0,2018-07-26 00:00:00.000,Starter,239248,239249,239250,1,828.75,,2.0,2018-07-31 13:01:00.000,2006-08-09 10:54:00.000,,Non-Binding,20000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83890,83568,,2006-08-23 00:00:00.000,Starter,251668,251669,251670,1,240.0,,,2018-10-13 08:43:00.000,2006-08-22 13:00:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95180,94307,14901.0,2018-01-23 00:00:00.000,Starter,285538,285539,285540,1,1251.0,,2.0,2018-01-25 16:01:00.000,2006-10-02 09:00:00.000,1.0,Not to exceed,20000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111095,109277,143351.0,2006-12-08 00:00:00.000,Starter,333286,333287,333288,1,440.0,,,2018-10-13 08:37:00.000,2006-12-05 12:14:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120255,117713,5052.0,2024-03-23 00:00:00.000,Unscheduled,360766,360767,360768,1,0.0,,,2019-07-15 11:58:00.000,2007-01-18 18:28:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128232,125280,92582.0,2019-09-05 00:00:00.000,Starter,384697,384698,384699,1,507.0,,2.0,2019-09-06 15:08:00.000,2007-02-18 20:12:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148841,144188,,2006-04-30 00:00:00.000,Starter,446524,446525,446526,1,493.5,,,2016-11-15 11:32:00.000,2007-04-19 14:16:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150920,146123,,2006-02-11 00:00:00.000,Hanger,452761,452762,452763,1,792.0,,,2019-10-19 11:49:00.000,2007-04-24 15:11:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158887,153461,,2007-05-11 00:00:00.000,Unscheduled,476662,476663,476664,1,0.0,,,2019-07-26 11:37:00.000,2007-05-11 16:31:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161136,155612,,2005-12-06 00:00:00.000,Unscheduled,483409,483410,483411,1,0.0,,,2014-03-04 14:11:00.000,2007-05-16 09:13:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161931,156323,,2005-08-20 00:00:00.000,Unscheduled,485794,485795,485796,1,376.0,,,2019-07-15 14:33:00.000,2007-05-17 09:43:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169305,163309,,2010-01-01 00:00:00.000,Unscheduled,507916,507917,507918,1,0.0,,,2018-09-20 08:09:00.000,2007-05-30 12:29:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169354,163362,,2010-01-01 00:00:00.000,Starter,508063,508064,508065,1,0.0,,,2019-09-26 21:40:00.000,2007-05-30 13:01:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169373,163381,,2010-01-01 00:00:00.000,Unscheduled,508120,508121,508122,1,0.0,,,2019-07-24 19:44:00.000,2007-05-30 13:15:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169560,163559,,2010-01-01 00:00:00.000,Unscheduled,508681,508682,508683,1,0.0,,,2019-10-22 21:31:00.000,2007-05-30 15:24:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172264,165917,16080.0,2010-01-01 00:00:00.000,Unscheduled,516793,516794,516795,1,0.0,,,2019-07-16 17:32:00.000,2007-06-04 12:23:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172279,165936,,2010-01-01 00:00:00.000,Hanger,516838,516839,516840,1,0.0,,,2019-02-16 11:33:00.000,2007-06-04 12:36:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172373,166029,,2010-01-01 00:00:00.000,Starter,517120,517121,517122,1,0.0,,,2019-10-22 21:26:00.000,2007-06-04 13:27:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
